Sort,Complexity,Time
Quicksort,2039,896700
Quicksort,763,712400
Quicksort,2038,1037200
Quicksort,764,578500
Quicksort,2037,1155400
Quicksort,765,586100
Quicksort,1189,711400
Quicksort,2036,883600
Quicksort,766,577100
Quicksort,1188,811000
Quicksort,2035,777800
Quicksort,767,506300
Quicksort,768,579800
Quicksort,769,727100
Quicksort,2056,817100
Quicksort,2055,1037500
Quicksort,2054,1074500
Quicksort,2053,1071200
Quicksort,2052,890200
Quicksort,2051,1134900
Quicksort,2050,1075900
Quicksort,770,543900
Quicksort,771,537900
Quicksort,772,611500
Quicksort,773,663600
Quicksort,774,592200
Quicksort,2049,940600
Quicksort,775,551200
Quicksort,2048,1118400
Quicksort,776,533500
Quicksort,2047,1205800
Quicksort,777,508200
Quicksort,1199,786700
Quicksort,2046,1056100
Quicksort,778,662500
Quicksort,779,622500
Quicksort,2067,865600
Quicksort,2066,831500
Quicksort,2065,839600
Quicksort,2064,1081900
Quicksort,2063,895500
Quicksort,2062,990800
Quicksort,2061,942000
Quicksort,780,561500
Quicksort,2060,824400
Quicksort,781,578500
Quicksort,782,541700
Quicksort,783,809400
Quicksort,300,709600
Quicksort,784,605900
Quicksort,301,630100
Quicksort,785,747400
Quicksort,302,558500
Quicksort,786,681500
Quicksort,2059,842800
Quicksort,303,971000
Quicksort,787,651000
Quicksort,2058,881400
Quicksort,304,812300
Quicksort,788,690900
Quicksort,2057,910800
Quicksort,305,701400
Quicksort,789,581200
Quicksort,306,581800
Quicksort,307,547000
Quicksort,308,532500
Quicksort,309,504100
Quicksort,2070,806800
Quicksort,2078,874100
Quicksort,2077,1284300
Quicksort,2076,1001100
Quicksort,2075,1134400
Quicksort,2074,1134400
Quicksort,2073,859500
Quicksort,790,527900
Quicksort,2072,853200
Quicksort,791,712500
Quicksort,2071,960100
Quicksort,792,648600
Quicksort,793,673700
Quicksort,310,556300
Quicksort,794,783000
Quicksort,311,600300
Quicksort,795,758200
Quicksort,312,501700
Quicksort,796,623700
Quicksort,313,712300
